CIUDAD,LATITUD,LONGITUD
A Coruña,43.369743,'-8.395153
A Coruña,43.369747,'-8.395154
A Coruña,43.369755,'-8.395154
A Coruña,43.369755,'-8.399567
A Coruña,43.36976,'-8.399564
A Coruña,43.36976,'-8.39957
A Coruña,43.369762,'-8.395154
A Coruña,43.36977,'-8.395149
A Coruña,43.36977,'-8.39515
A Coruña,43.36977,'-8.395152
A Coruña,43.369774,'-8.390415
A Coruña,43.369774,'-8.395144
A Coruña,43.369778,'-8.39514
A Coruña,43.369785,'-8.395131
A Coruña,43.36979,'-8.395125
A Coruña,43.369797,'-8.395113
A Coruña,43.369804,'-8.399467
A Coruña,43.36982,'-8.39943
A Coruña,43.36984,'-8.3904085
A Coruña,43.369846,'-8.395042
A Coruña,43.36985,'-8.395038
A Coruña,43.36985,'-8.3950405
A Coruña,43.36986,'-8.390409
A Coruña,43.36986,'-8.399329
A Coruña,43.369877,'-8.395
A Coruña,43.369877,'-8.399299
A Coruña,43.369884,'-8.39499
A Coruña,43.36989,'-8.39041
A Coruña,43.369896,'-8.39502
A Coruña,43.369896,'-8.399169
A Coruña,43.36991,'-8.390412
A Coruña,43.36991,'-8.3950615
A Coruña,43.369915,'-8.39912
A Coruña,43.369915,'-8.399209
A Coruña,43.36992,'-8.399106
A Coruña,43.369923,'-8.399191
A Coruña,43.369934,'-8.390414
A Coruña,43.36994,'-8.398999
A Coruña,43.369946,'-8.39514
A Coruña,43.369953,'-8.3949795
A Coruña,43.369965,'-8.398886
A Coruña,43.36997,'-8.395194
A Coruña,43.36997,'-8.395195
A Coruña,43.36998,'-8.395224
A Coruña,43.369984,'-8.390421
A Coruña,43.37,'-8.398718
A Coruña,43.370007,'-8.390426
A Coruña,43.370007,'-8.398667
A Coruña,43.370007,'-8.398679
A Coruña,43.370007,'-8.398684
A Coruña,43.37001,'-8.394898
A Coruña,43.370014,'-8.398638
A Coruña,43.370018,'-8.398622
A Coruña,43.37002,'-8.395329
A Coruña,43.370026,'-8.395346
A Coruña,43.370026,'-8.398577
A Coruña,43.370026,'-8.398578
A Coruña,43.370026,'-8.39859
A Coruña,43.370026,'-8.398592
A Coruña,43.370033,'-8.39043
A Coruña,43.370064,'-8.394828
A Coruña,43.37008,'-8.390442
A Coruña,43.37008,'-8.398316
A Coruña,43.370083,'-8.398309
A Coruña,43.370083,'-8.398311
A Coruña,43.370083,'-8.398317
A Coruña,43.37009,'-8.398278
A Coruña,43.370094,'-8.398262
A Coruña,43.3701,'-8.398232
A Coruña,43.370102,'-8.395345
A Coruña,43.370102,'-8.398216
A Coruña,43.370106,'-8.390449
A Coruña,43.37011,'-8.395343
A Coruña,43.370113,'-8.395343
A Coruña,43.37012,'-8.398121
A Coruña,43.37012,'-8.3981285
A Coruña,43.370125,'-8.395341
A Coruña,43.370125,'-8.398102
A Coruña,43.37013,'-8.398092
A Coruña,43.370136,'-8.395339
A Coruña,43.37014,'-8.395339
A Coruña,43.370144,'-8.395338
A Coruña,43.370144,'-8.395474
A Coruña,43.370144,'-8.395476
A Coruña,43.370144,'-8.395478
A Coruña,43.370144,'-8.395483
A Coruña,43.370144,'-8.395485
A Coruña,43.370144,'-8.398008
A Coruña,43.370148,'-8.395467
A Coruña,43.370148,'-8.395472
A Coruña,43.370148,'-8.395495
A Coruña,43.370148,'-8.395505
A Coruña,43.370148,'-8.395515
A Coruña,43.370148,'-8.398001
A Coruña,43.37015,'-8.390467
A Coruña,43.37015,'-8.395463
A Coruña,43.37015,'-8.395466
A Coruña,43.370155,'-8.39546
A Coruña,43.370155,'-8.39561
A Coruña,43.370155,'-8.3956175
A Coruña,43.370155,'-8.395619
A Coruña,43.37016,'-8.394707
A Coruña,43.37016,'-8.395458
A Coruña,43.370163,'-8.394708
A Coruña,43.370163,'-8.397921
A Coruña,43.370167,'-8.395457
A Coruña,43.370167,'-8.395771
A Coruña,43.370174,'-8.395456
A Coruña,43.37018,'-8.390476
A Coruña,43.37018,'-8.395923
A Coruña,43.37018,'-8.397843
A Coruña,43.370182,'-8.395455
A Coruña,43.37019,'-8.394758
A Coruña,43.37019,'-8.396079
A Coruña,43.37019,'-8.39608
A Coruña,43.370193,'-8.396118
A Coruña,43.370197,'-8.396189
A Coruña,43.3702,'-8.390486
A Coruña,43.3702,'-8.396226
A Coruña,43.3702,'-8.396231
A Coruña,43.3702,'-8.397749
A Coruña,43.370213,'-8.395328
A Coruña,43.370213,'-8.396383
A Coruña,43.370216,'-8.395327
A Coruña,43.370216,'-8.3976755
A Coruña,43.370224,'-8.396535
A Coruña,43.370224,'-8.396538
A Coruña,43.370228,'-8.397605
A Coruña,43.370235,'-8.396692
A Coruña,43.370243,'-8.395323
A Coruña,43.370247,'-8.396825
A Coruña,43.370247,'-8.397516
A Coruña,43.37025,'-8.390507
A Coruña,43.370255,'-8.396906
A Coruña,43.370255,'-8.396915
A Coruña,43.37026,'-8.396959
A Coruña,43.370266,'-8.397101
A Coruña,43.37027,'-8.397404
A Coruña,43.370274,'-8.390518
A Coruña,43.370274,'-8.395318
A Coruña,43.370274,'-8.397312
A Coruña,43.370277,'-8.395318
A Coruña,43.370277,'-8.397221
A Coruña,43.370296,'-8.390531
A Coruña,43.370296,'-8.395315
A Coruña,43.370296,'-8.395317
A Coruña,43.370296,'-8.395438
A Coruña,43.3703,'-8.395345
A Coruña,43.3703,'-8.39535
A Coruña,43.370304,'-8.3953905
A Coruña,43.370304,'-8.3954115
